Water Scheme,Balagolla,,,Water Source,,Mahaweli River,,,,Station ID,,Balagolla,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),10,80,74,30,50,30,30,30,34,41,38,38,61,66,72,64,128,92,28,46,51,41,44,50
Color (Hazen),8,60,45,70,19,30,84,9,15,23,12,16,55,39,10,620,20,88,5,17,36,29,44,23
E Coli,130,1268,420,228,220,460,580,790,1260,740,410,480,920,510,10,4360,980,890,10.4,734,428,370,744,488
Hardness (mg/l),57,77,62,40,68,38,37,34,29,40,34,30,48,54,80,59,132,98,22,52,48,36,40,44
Iron (mg/l),0.005,0.007,0.006,0.006,0.005,0.009,0.009,0.008,0.005,0.005,0.007,0.006,0.18,0.03,0.12,1.76,0.22,0.18,0.2,0.34,0.16,0.26,0.44,0.1
Nitrate (mg/l),2.4,0.12,2.1,1.3,3.6,0.6,0.6,0.6,1.1,0.9,0.7,0.9,0.9,0.8,0.3,0.3,0.6,0.18,1,0.6,1.2,0.8,0.1,0.9
pH,7.65,7.72,7.26,7.53,7.31,7.12,6.85,6.87,7.56,6.96,6.89,6.83,7.1,7.82,7.59,6.95,6.74,7.08,6.8,7.75,7.1,6.95,7.85,7.71
Total Coliform,420,1340,660,314,320,680,880,1640,3440,1960,620,660,1460,720,40,6800,2460,1160,10.2,1440,760,680,1022,712
Turbidity (NTU),116,442,522,368,313,112.8,620.2,122.29,79,14.2,3.8,14.67,11.3,7.81,2.62,217,14.2,38,3.68,5.28,5.1,5.4,8.2,5.68
