Water Scheme,Gampolawatte,,,,,,Water Source,,Dail Watta Ela,,,,,Station ID,,Dail Watta,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),38,30,41,31,35,29,29,23,21,27,28,29,29,48,45,43,32,45,42,45,52,32,37,30
Color (Hazen),6,10,27,7,20,30,13,11,51,18,53,18,7,9,32,42,27,15,16,5,23,14,34,18
E Coli,92,72,360,58,280,340,630,188,260,70,420,120,280,220,86,400,840,62,120,170,140,170,700,296
Hardness (mg/l),35,28,31,30,26,31,27,19,21,25,28,26,24,34,36,31,26,35,31,39,47,29,32,27
Iron (mg/l),0.1,0.24,0.18,0.13,0.23,0.18,0.18,0.17,0.18,0.15,0.19,0.23,0.1,0.12,0.16,0.27,0.21,0.12,0.18,0.15,0.28,0.14,0.16,0.19
Nitrate (mg/l),0.8,0.7,0.8,1,1,0.9,0.7,1.2,0.3,3.4,4,3.5,3.7,3.6,2.8,2.7,2.7,2.8,1.3,2.4,2.8,5.6,3.8,1.6
pH,7.5,7.4,8,7.6,7.4,7.3,7.4,7,7.3,7.2,7,7.1,7.09,7.28,7.16,7.69,7.53,8.02,7.5,7.87,8.32,6.99,6.94,7.12
Total Coliform,570,540,744,280,950,842,990,900,1340,1670,1070,780,1060,520,610,1600,1440,862,740,840,820,400,1320,420
Turbidity (NTU),0.83,1.2,3.35,0.82,1.98,6.72,1.93,1.61,7.24,1.99,3.13,3.7,1.53,0.95,1.78,4.56,3.95,0.7,1.82,0.937,1.39,1.58,4.6,3.13
