Water Scheme,Pussellawa,,,,,,Water Source,,Helboda oya,,,,,Station ID,,Delta estate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),26,24,29,25,28,18,15,16,17,19,14,22,25,23,33,28,32,32,28,39,28,35,33,24
Color (Hazen),6,8,8,9,5,11,32,11,19,18,24,10,9,23,19,11,24,42,24,24,40,22,22,18
E Coli,60,50,140,240,320,102,380,28,32,56,34,24,14,23,160,190,256,160,120,64,440,44,64,22
Hardness (mg/l),28,22,34,37,39,20,19,16,18,19,10,26,26,27,32,26,32,31,26,41,30,33,31,22
Iron (mg/l),0.2,0.2,0.18,0.28,0.14,0.24,0.57,0.11,0.4,0.58,0.3,0.1,0.28,0.22,0.16,0.19,0.16,0.25,0.25,0.3,1.12,0.22,0.68,-
Nitrate (mg/l),2.7,2.8,1.3,2.4,2.8,5.6,3.8,1.6,2.8,1.9,2.8,2.9,2.4,2.1,2,2.3,2.2,2.6,2.4,2.5,2.4,2.3,2.1,0.8
pH,7.7,6.9,7.5,7.6,7.2,7.3,6.8,7,7.1,7.2,6.5,6.8,6.69,7.04,7.4,7.19,7.05,7.15,7.12,7.3,7.12,7,6.8,6.73
Total Coliform,250,700,660,730,820,184,714,260,2720,192,454,364,96,1258,2467,620,824,308,160,904,980,236,884,944
Turbidity (NTU),0.83,1.7,1.24,0.88,1.28,2.2,8,1.72,3.32,4.87,2.89,0.96,1.64,1.13,1.29,1.52,1.18,2.75,2.8,1.75,4.33,3.18,2.4,1.52
