Water Scheme,Thalawakele,,,,,,Water Source,,Galkanda stream,,,,,Station ID,,Great Western,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),30,30,27,20,18,15,16,7,6,6,10,9,10,10,32,26,28,10,15,8,14,8,14,11
Color (Hazen),1,3,5,1,11,32,11,14,13,12,14,8,8,15,34,59,51,9,18,12,21,21,43,8
E Coli,120,24,160,620,102,380,28,24,48,10,14,40,8,28,160,142,672,66,38,10,20,40,422,10
Hardness (mg/l),18,26,22,33,20,19,16,4,10,6,12,14,15,3,25,22,27,10,17,5,19,4,23,13
Iron (mg/l),0.03,0.13,0.24,0.1,0.24,0.57,0.11,0.04,0.05,0.06,0.11,0.05,0.07,0.19,0.22,0.23,0.18,0.02,0.05,0.04,0.08,0.08,0.2,0.42
Nitrate (mg/l),2.8,4.3,2.8,4.4,5.6,3.8,1.6,2.6,1.2,2.4,2.4,3.2,1.1,3.4,1.8,1.5,4.1,4.2,2.4,3.4,3.1,3.5,3.7,2.9
pH,7.1,7.4,7.17,6.73,7.3,6.8,7,6.9,7.37,6.69,6.56,6.14,6.68,6.9,7.26,7.92,7.35,7.12,8.25,6.91,6.95,6.7,6.7,6.84
Total Coliform,240,68,288,760,184,714,260,346,130,290,234,584,348,728,880,462,1512,172,278,578,405,164,662,204
Turbidity (NTU),0.63,2.77,3.68,0.44,2.2,8,1.72,1.17,0.37,0.65,0.38,0.36,0.57,1.52,2.4,4.51,6.37,0.43,1.11,0.49,0.64,0.523,4.64,0.46
