Water Scheme,Nawalapitiya,,,Water Source,,Hangran oya,,,,Station ID,,Hynford,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),10,12,12,14,9,6,5,4,5,4,8,9,12,18,10,9,13,10,12,12,10,13,15,18
Color (Hazen),10,15,13,7,2,28,13,17,21,17,23,22,14,15,22,25,18,56,16,16,20,21,13,33
E Coli,120,264,82,82,280,150,138,262,1984,62,102,204,80,162,104,60,96,488,156,82,88,160,168,672
Hardness (mg/l),9,8,10,15,6,6,6,4,5,7,16,20,8,25,7,13,14,7,15,8,12,16,26,27
Iron (mg/l),0.27,0.18,0.16,0.11,0.16,0.32,0.14,0.27,0.26,0.16,0.26,0.28,0.21,0.28,0.26,0.24,0.23,0.42,0.2,0.25,0.23,0.14,0.19,0.17
Nitrate (mg/l),2.2,2.4,2.1,2,2.3,2.2,2.6,2.4,2.5,2.4,2.3,2.1,2.4,3.4,3.1,3.5,2.5,2.8,2.6,2.2,1.5,2.8,3.6,3.8
pH,7.3,6.9,7.1,7.9,7,7,6.8,7,6.6,6.6,6.6,6.6,7.09,7.19,6.97,7.18,7.05,7.02,9.45,6.85,7.04,6.6,6.8,6.97
Total Coliform,440,2158,392,472,720,440,340,842,2184,442,386,524,580,442,734,1660,396,714,444,394,530,304,918,1792
Turbidity (NTU),0.77,1.14,0.73,1.12,1.51,2.97,1.3,2.18,1.98,2.11,2.12,3.24,0.97,1.04,1.78,1.41,1.53,4.3,1.79,1.26,1.1,1.12,1.3,3.06
