Water Scheme,Marassana,,,,,,Water Source,,Ma Oya,,,,,Station ID,,Marassana,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),30,90,60,50,30,90,88,40,53,46,32,43,76,77,68,64,98,92,90,91,104,37,45,36
Color (Hazen),40,4,60,70,7,2,8,60,52,48,46,20,32,42,10,12,19,16,3,10,9,42,8,19
E Coli,210,168,160,162,140,45,180,370,730,280,510,540,510,360,32,28,68,172,204,296,920,210,420,286
Hardness (mg/l),43,114,68,42,39,101,111,68,43,50,36,48,74,73,58,54,86,86,92,91,96,33,35,22
Iron (mg/l),0.29,0.17,0.3,3.26,0.77,0.33,0.35,0.26,0.18,0.16,0.29,0.17,0.3,0.03,0.1,0.2,0.39,0.06,0.16,0.11,0.27,0.18,0.25,0.23
Nitrate (mg/l),2.5,4.4,2.3,3.5,3.2,0.9,0.8,0.9,0.8,0.7,0.8,0.9,0.9,0.8,0.2,0.3,0.6,0.7,0.7,0.8,0.4,0.9,0.3,1.1
pH,7.51,7.46,7.34,7.6,6.89,7.22,6.98,7.66,7.2,6.78,7.36,6.96,6.96,6.87,7.08,7.12,7.27,7.04,6.74,7.2,7.89,7.74,6.2,7.1
Total Coliform,630,766,280,257,318,88,320,480,890,418,860,810,780,980,154,162,102,456,420,484,1640,326,640,480
Turbidity (NTU),5.56,2.04,7.54,7.93,5.5,0.6,0.5,12.2,6.25,7.01,9.93,7.6,5.58,6.15,1.9,2.2,9.81,6.2,1.77,4.4,0.97,21.4,3.03,10.7
