Water Scheme,Meewathura,,,Water Source,,Mahaweli River,,,,Station ID,,Meewathura,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),30,28,24,29,16,19,16,14,14,8,15,23,25,24,30,27,24,19,18,22,27,19,22,18
Color (Hazen),1,2,2,2,14,14,92,27,41,305,28,13,12,8,13,29,39,16,36,17,36,49,153,17
E Coli,260,8,42,54,180,120,316,180,320,396,318,220,182,8,42,54,48,72,400,24,214,342,557,92
Hardness (mg/l),30,32,34,36,14,22,16,15,16,10,22,32,25,24,22,23,22,21,36,24,24,20,23,27
Iron (mg/l),0.04,0.12,0.06,0.07,0.21,0.15,0.35,0.18,0.28,0.73,0.39,0.31,0.12,0.13,0.12,0.22,0.19,0.14,0.18,0.1,0.33,0.36,0.43,0.42
Nitrate (mg/l),2.8,2.2,1.7,2.9,3.4,4.2,2.8,2.2,2.1,5.1,2.3,2.4,2.3,2.2,2.6,2.4,2.5,2.4,2.3,2.1,0.8,0.7,0.8,1
pH,7.3,7.2,7.7,7.7,6.7,7.1,6.8,7.2,7.1,6.8,6.8,7,7.08,7.05,7.03,7.17,7.09,7.08,7.3,6.76,7.03,7.12,6.89,7.19
Total Coliform,580,420,350,800,700,310,812,430,890,1012,998,630,1002,290,322,334,1568,400,720,644,1142,680,2104,814
Turbidity (NTU),0.32,0.4,0.62,0.54,3.04,1.94,12.4,8.65,10.8,41.8,8.36,2.03,0.54,0.51,2.01,2.16,3.34,1.73,3.49,1.11,2.39,4.2,19.3,3.1
