Water Scheme,Pundalu oya,,,Water Source,,Dunsinan fall,,,,Station ID,,Pundalu oya,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),20,20,22,30,15,15,13,5,9,6,8,6,13,17,13,11,9,13,24,15,13,13,9,11
Color (Hazen),2,1,7,2,7,20,27,2,13,11,11,6,12,11,11,18,13,17,15,13,14,18,49,9
E Coli,200,140,210,510,104,190,270,142,460,310,182,184,164,30,14,440,72,44,180,1024,104,260,296,220
Hardness (mg/l),15,18,15,4,18,16,20,10,10,10,11,13,12,8,23,8,9,14,27,22,20,21,15,19
Iron (mg/l),0.04,0.5,0.05,0.16,0.11,0.1,0.18,0.05,0.07,0.44,0.1,0.06,0.06,0.07,0.07,0.04,0.05,0.01,0.07,0.06,0.06,0.11,0.33,0.42
Nitrate (mg/l),5.5,8.6,4.2,4.9,4.2,3.9,4.2,4.2,4.5,5.7,5.1,5.3,2.8,1.3,2.4,2.8,5.6,3.8,1.6,2.8,1.9,2.8,2.1,5.1
pH,6.68,8.2,6.32,6,7.01,8.07,6.85,6.58,7.13,7.06,6.81,6.66,6.94,7.15,7.35,7.26,6.63,7.11,8.95,7.19,7.09,6.94,6.62,6.97
Total Coliform,400,260,310,620,310,430,800,466,1568,380,578,472,556,564,1701,1130,400,172,520,2076,804,550,744,670
Turbidity (NTU),1.05,0.7,5.65,1,5,1.83,5.97,0.71,1.11,2.03,0.36,0.55,0.89,0.59,0.51,0.77,0.69,0.79,1.74,0.73,0.96,1.44,3.59,0.63
