Water Scheme,Paradeka,,,,,,Water Source,,Paradeka Oya,,,,,Station ID,,Shakthi Janapadaya,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),40,55,40,50,47,31,37,27,20,22,26,36,31,45,46,47,27,37,33,42,38,32,36,29
Color (Hazen),8,3,8,3,1,17,6,10,106,113,52,5,10,1,40,20,20,41,43,12,69,21,18,5
E Coli,272,204,270,320,320,190,282,370,1440,230,310,80,240,320,720,32,572,340,780,124,620,340,530,346
Hardness (mg/l),50,77,46,52,47,32,28,24,25,30,35,35,32,44,51,42,37,50,35,46,43,41,50,43
Iron (mg/l),0.08,0.12,0.33,0.11,0.1,0.22,0.28,0.1,0.41,0.34,0.33,0.16,0.19,0.15,0.18,0.2,0.16,0.22,0.22,0.19,0.51,0.35,0.31,0.14
Nitrate (mg/l),2.9,1.8,2.6,5.9,2.4,4.2,4.7,2.2,9.5,3,4.9,5.1,2.5,8.6,4.2,4.9,4.2,3.9,4.2,4.2,4.5,5.7,5.1,5.3
pH,7.5,7.6,7.8,7.6,7.5,7.1,7.1,7.4,7.3,6.9,6.8,7.2,7.12,7.15,7.14,7.45,7.34,7.63,8.71,7.89,8.04,7.19,6.93,6.89
Total Coliform,670,578,620,300,720,498,680,740,2360,954,800,280,1000,490,1360,1050,912,864,1028,244,800,960,300,670
Turbidity (NTU),0.38,1.19,1.47,0.3,1.24,2.06,4.91,3.54,17,14,5.76,0.85,1.22,1.44,3.16,2.1,2.95,2.25,6.57,1.17,7.57,2.52,2.79,0.69
